Year,Month,year_month,Os_Company,Range_DPD,Product_final,Payment_for_Fee,PR_amount,Balance
2020,11,11-2020,NDC,360-720,HHB,32111887,2273163431,4465399147
2020,11,11-2020,AMG,360-720,Overdraft,0,51439631,69974671
2020,6,6-2020,TCG,720-1080,Overdraft,0,766715152,1231194622
2020,10,10-2020,AMG,180-360,Credit card,0,"9781555,84","14512236,57"
2020,7,7-2020,TDO,720-1080,Overdraft,30,1315380147,2801324465
2020,9,9-2020,BFC,1080+,Credit card,62000000,11764028165,51463776876
2020,7,7-2020,ASA,1080+,Overdraft,10,1816878444,3988613179
2020,1,1-2020,TCG,360-720,Unsecured Loan,99018238,55459326547,88698958062
2020,8,8-2020,HNA,180-360,HHB,0,23026251,34081731
2020,12,12-2020,TCG,720-1080,Overdraft,3787762,2145495793,4192025458
2020,1,1-2020,HMK,0-180,Credit card,168741057,4788238503,5942856741
2020,9,9-2020,AMG,360-720,Credit card,11257000,"489759162,9","915381547,1"
2020,11,11-2020,NDC,720-1080,Overdraft,1478003,2040368858,3828175526
2020,3,3-2020,HMK,360-720,Unsecured Loan,264767387,76050377261,130122819993
2020,5,5-2020,BFC,360-720,HHB,4,2339998333,4863520612
2020,2,2-2020,GLX,720-1080,Unsecured Loan,550908936,345791927214,760274240202
2020,11,11-2020,DK,720-1080,Secured Loan,0,19800,19800
2020,6,6-2020,TDO,180-360,Overdraft,0,12043785,13579909
2020,11,11-2020,TDO,360-720,Overdraft,478004,149986359,212394995
2020,5,5-2020,TDO,360-720,Overdraft,2006002,660750645,960098400
2020,7,7-2020,HNA,360-720,HHB,1800000,677385559,1348275171
2020,9,9-2020,ASA,180-360,HHB,2763000,330916898,468290349
2020,11,11-2020,GLX,0-180,Overdraft,0,0,0
2020,12,12-2020,DK,180-360,Credit card,0,"87951923,32","124576078,3"
2020,8,8-2020,DK,180-360,HHB,0,107022278,137505906
2020,12,12-2020,HNA,720-1080,Overdraft,4,384336952,746699524
2020,1,1-2020,NDC,1080+,Other,8,6443189,18477851
2020,2,2-2020,TCG,0-180,HHB,17627824,629743193,672319377
2020,5,5-2020,GLX,360-720,Unsecured Loan,215659836,55049515043,96993731929
2020,9,9-2020,ASA,360-720,HHB,39906793,6955242009,13618463993
2020,1,1-2020,TDO,360-720,Unsecured Loan,39950368,15556476937,23637369759
2020,12,12-2020,DK,Deadloan,Unsecured Loan,228,23495668467,149105886256
2020,6,6-2020,HNA,720-1080,Overdraft,88524603,556080300,890286457
2020,5,5-2020,BFC,1080+,HHB,4,9289965681,20267692561
2020,5,5-2020,HNA,360-720,Credit card,14170000,6637115386,13182236969
2020,2,2-2020,GLX,360-720,Credit card,135915000,25543030941,46067433081
2020,9,9-2020,DK,Deadloan,Credit card,0,"758547688,1",3914060553
2020,5,5-2020,AMG,180-360,Unsecured Loan,0,15146150,18882115
2020,12,12-2020,HNA,1080+,Credit card,270009186,16084282494,73288173032
2020,1,1-2020,TCG,1080+,Unsecured Loan,44029545,45166182172,124396728770
2020,2,2-2020,TDO,1080+,Unsecured Loan,1000008,349134980,928334915
2020,3,3-2020,GLX,720-1080,Overdraft,0,1659418127,3000697812
2020,11,11-2020,AMG,1080+,Unsecured Loan,33246211,75828429666,217148275354
2020,5,5-2020,AMG,1080+,HHB,22725800,14771469461,34600063641
2020,2,2-2020,TDO,180-360,Unsecured Loan,118119785,5263694238,7001822099
2020,8,8-2020,TDO,1080+,Unsecured Loan,1000052,11644659408,32438531461
2020,7,7-2020,FBI,0-180,Credit card,0,"18071492,24","34583943,26"
2020,9,9-2020,TDO,720-1080,Unsecured Loan,4,176964993,425880926
2020,10,10-2020,GLX,0-180,Credit card,10951660,"311212733,5","409789945,9"
2020,10,10-2020,HNA,720-1080,HHB,84754756,15372257335,38388911842
2020,7,7-2020,HMK,360-720,Overdraft,12456007,773945501,1165159409
2020,5,5-2020,DK,Deadloan,Secured Loan,0,40000000,196380325
2020,6,6-2020,GLX,1080+,Unsecured Loan,514351245,191901410682,522725042466
2020,11,11-2020,BFC,1080+,HHB,0,17160587170,58267533574
2020,9,9-2020,GLX,720-1080,Overdraft,12,2733279390,4995113285
2020,7,7-2020,DK,360-720,HHB,16401005,1788954768,3627277364
2020,6,6-2020,NDC,1080+,Unsecured Loan,267968009,45327070217,125957209963
2020,11,11-2020,TCG,720-1080,Credit card,68736267,30260065451,79514162617
2020,7,7-2020,HMK,180-360,HHB,7245000,267956919,356468158
2020,5,5-2020,TCG,720-1080,Credit card,60860000,26952050831,66423610777
2020,5,5-2020,BFC,180-360,HHB,0,0,"313023,7"
2020,11,11-2020,FBI,180-360,HHB,0,40526196,54279924
2020,8,8-2020,TCG,0-180,HHB,18686864,160309090,169686888
2020,5,5-2020,HMK,180-360,Overdraft,2800000,162431882,195306914
2020,6,6-2020,HNA,1080+,Credit card,69384000,10820890534,48390006121
2020,6,6-2020,TDO,720-1080,Credit card,1500000,8836409326,20406302394
2020,8,8-2020,TCG,0-180,Unsecured Loan,4370437,85460574,94867152
2020,8,8-2020,TCG,720-1080,Unsecured Loan,276071180,79224661197,171831793880
2020,12,12-2020,TDO,720-1080,Credit card,0,"20553231,11","51289202,52"
